Russ,Missin You Crazy - Acoustic,acoustic,0.686,0.276,5,-12.85,1,0.0321,0.94,0,0.111,0.681,131.854,audio_features,2by0pYpb2dx0pbEkP4T4ve,spotify:track:2by0pYpb2dx0pbEkP4T4ve,https://api.spotify.com/v1/tracks/2by0pYpb2dx0pbEkP4T4ve,https://api.spotify.com/v1/audio-analysis/2by0pYpb2dx0pbEkP4T4ve,220147,4,
SYML,Where's My Love - Acoustic,acoustic,0.554,0.226,3,-11.323,1,0.0281,0.891,0.0321,0.107,0.229,104.005,audio_features,1eKvw144NYPlDjR0wQoGLW,spotify:track:1eKvw144NYPlDjR0wQoGLW,https://api.spotify.com/v1/tracks/1eKvw144NYPlDjR0wQoGLW,https://api.spotify.com/v1/audio-analysis/1eKvw144NYPlDjR0wQoGLW,239880,4,
Xuitcasecity,Need Somebody (Acoustic),acoustic,0.417,0.498,9,-6.077,1,0.0845,0.838,0,0.0748,0.37,179.801,audio_features,5wvtHXLPdNrLBNIta50PeV,spotify:track:5wvtHXLPdNrLBNIta50PeV,https://api.spotify.com/v1/tracks/5wvtHXLPdNrLBNIta50PeV,https://api.spotify.com/v1/audio-analysis/5wvtHXLPdNrLBNIta50PeV,192333,4,
Kane Brown,Heaven - Acoustic,acoustic,0.692,0.709,9,-5.889,1,0.03,0.0762,1.64e-06,0.103,0.662,80.015,audio_features,6iianeJmHrWZEjYXYKlAPY,spotify:track:6iianeJmHrWZEjYXYKlAPY,https://api.spotify.com/v1/tracks/6iianeJmHrWZEjYXYKlAPY,https://api.spotify.com/v1/audio-analysis/6iianeJmHrWZEjYXYKlAPY,174586,4,
R3HAB,More Than OK - Acoustic,acoustic,0.571,0.215,3,-9.71,0,0.0428,0.913,0,0.0942,0.521,101.47,audio_features,1EUTSAoYDajQwasV4mwKGM,spotify:track:1EUTSAoYDajQwasV4mwKGM,https://api.spotify.com/v1/tracks/1EUTSAoYDajQwasV4mwKGM,https://api.spotify.com/v1/audio-analysis/1EUTSAoYDajQwasV4mwKGM,164884,4,
NIKI,La La Lost You - Acoustic Version,acoustic,0.606,0.196,1,-11.652,1,0.0553,0.908,0,0.348,0.391,100.873,audio_features,5WkCcSa78lM1Ym4LXzJUiN,spotify:track:5WkCcSa78lM1Ym4LXzJUiN,https://api.spotify.com/v1/tracks/5WkCcSa78lM1Ym4LXzJUiN,https://api.spotify.com/v1/audio-analysis/5WkCcSa78lM1Ym4LXzJUiN,208511,4,
Jake Scott,Favorite T-Shirt - Acoustic,acoustic,0.82,0.26,9,-14.473,1,0.0759,0.757,0,0.144,0.641,114.943,audio_features,2PR4jVXzyjCky2PkONvipq,spotify:track:2PR4jVXzyjCky2PkONvipq,https://api.spotify.com/v1/tracks/2PR4jVXzyjCky2PkONvipq,https://api.spotify.com/v1/audio-analysis/2PR4jVXzyjCky2PkONvipq,188442,4,
AJR,Pretender - Acoustic,acoustic,0.811,0.365,7,-6.943,0,0.0291,0.639,0,0.224,0.539,97.941,audio_features,0Bxk3MUYZnmzflsoDNwSvW,spotify:track:0Bxk3MUYZnmzflsoDNwSvW,https://api.spotify.com/v1/tracks/0Bxk3MUYZnmzflsoDNwSvW,https://api.spotify.com/v1/audio-analysis/0Bxk3MUYZnmzflsoDNwSvW,181350,4,
JP Cooper,September Song - Guitar Acoustic,acoustic,0.396,0.421,3,-7.9,1,0.0326,0.364,0,0.136,0.527,89.579,audio_features,6g42V47jizY7cim97qCmyu,spotify:track:6g42V47jizY7cim97qCmyu,https://api.spotify.com/v1/tracks/6g42V47jizY7cim97qCmyu,https://api.spotify.com/v1/audio-analysis/6g42V47jizY7cim97qCmyu,212153,4,
mxmtoon,1, 2 - acoustic,acoustic,0.434,0.321,5,-9.424,1,0.0487,0.658,0,0.0889,0.552,209.613,audio_features,4JII4wPvRxMHQskl97x35m,spotify:track:4JII4wPvRxMHQskl97x35m,https://api.spotify.com/v1/tracks/4JII4wPvRxMHQskl97x35m,https://api.spotify.com/v1/audio-analysis/4JII4wPvRxMHQskl97x35m,122773,3,
